,title,subtitle,link
0,RODGER AND OUT, Joe Hart announces he's quitting in June after chat with Celtic boss Rodgers,https://www.thesun.co.uk/sport/26110590/england-man-city-joe-hart-retire/
1,RAPIST APPEAL, Dani Alves will APPEAL bombshell 4.5-year sentence after he's guilty of rape,https://www.thesun.co.uk/sport/26102249/dani-alves-guilty-raping-woman-nightclub-bathroom/
2,GUNNER SIGN?, Arsenal on brink of snapping up 15-year-old wonderkid from Rangers,https://www.thesun.co.uk/sport/26110587/arsenal-alexander-smith-rangers-transfer/
3,ACE SHOCK, Ex-Chelsea star Rahman rushed to hospital after swallowing tongue in collision,https://www.thesun.co.uk/sport/26112577/chelsea-baba-rahman-hospital-tongue-swallow-head-clash/
4,PURE GOLD, Best Cheltenham deals for March's festival incuding sign-up offers & free bets,https://www.thesun.co.uk/betting/25934894/cheltenham-betting-offers-free-bets/
5,KATE AB-DOH!, 2007 clip of CBS host Abdo leaves Henry stunned.. & Carra & Micah in stitches,
6,WY OH WY, EFL fans say 'game's well and truly gone' after bizarre reason for yellow card,https://www.thesun.co.uk/sport/26109562/efl-wycombe-bradford/
7,GUNNED DOWN, Supercomputer reveals Arsenal's chances of winning CL after Porto loss,https://www.thesun.co.uk/sport/26107663/supercomputer-arsenal-champions-league-porto/
8,TAKE IT AS RED, Europa League draw simulated with Liverpool landing incredible glamour tie,https://www.thesun.co.uk/sport/26103182/europa-league-liverpool-rangers-west-ham-ac-milan/
9,RED DEVIL MAY CARE, Sir Alex Ferguson reveals he broke a rib celebrating £500k racing win,https://www.thesun.co.uk/sport/26105149/sir-alex-ferguson-broken-rib-celebrating-win/
10,LUK OUT, Ex-Arsenal ace Podolski fumes about McDonald's as he defends kebab chain prices,https://www.thesun.co.uk/sport/26109219/arsenal-lukas-podolski-kebab-shop-prices-mcdonalds/
11,'MENACE', Fans spot 'most disrespectful football clip' after Messi skill vs injured rival,https://www.thesun.co.uk/sport/26103831/lionel-messi-skill-mls-inter-miami/
12,'LEFT WITHOUT A LEGEND', Benfica and Portugal icon Artur Jorge dies aged 78 after illness,https://www.thesun.co.uk/sport/26111875/portugal-porto-benfica-artur-jorge-dead-78/
13,PEP STAR, Ferdinand reveals what he said to 40-year-old Porto ace after they stunned Arsenal,https://www.thesun.co.uk/sport/26101522/porto-pepe-rio-ferdinand-tnt-sports-arsenal-martin-keown/
14,A REAL BALLS UP, Fans in stitches as Gakpo 'kicks wrong ball' with Luton star left in agony,https://www.thesun.co.uk/sport/26098356/liverpool-gakpo-kicks-wrong-ball-luton-agony/
15,RAZOR SHARP, Prem icon cuts trim figure after epic body transformation that ‘saved his life’,https://www.thesun.co.uk/sport/26101886/premier-league-neil-ruddock-body-transformation/
16,NAILED IT, Ronaldo's son shows off abs.. but fans can't stop staring at his dad's feet,https://www.thesun.co.uk/sport/26109885/cristiano-ronaldos-son-six-pack-toes/
17,WORTH IT?, Sir Jim Ratcliffe warns Newcastle against 'absurd' Ashworth plan amid £20m row,https://www.thesun.co.uk/sport/26093739/sir-jim-ratcliffe-newcastle-dan-ashworth-man-utd-compensation/
18,CLIFFE HANGER, Sir Jim Ratcliffe wants to build new Man Utd stadium 'for the north',https://www.thesun.co.uk/sport/26093293/sir-jim-ratcliffe-man-utd-old-trafford/
19,MAN WHO?, Ratcliffe 'not sure Sheikh Jassim exists' and claims Glazers 'never met him',https://www.thesun.co.uk/sport/26094875/man-utd-sir-jim-ratcliffe-exists-sheikh-jassim/
20,DOUBLE UP," Win a Porsche GT3 RS and a Mercedes G63 AMG or £220,000 cash from just 85p",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
21,GREEN LIGHT?, Ratcliffe leaves door open for Greenwood to make controversial Man Utd return,https://www.thesun.co.uk/sport/26092170/sir-jim-ratcliffe-mason-greenwood-return-man-utd/
22,BACK FER GOOD, Ratcliffe echoes Fergie as he vows to 'knock enemies off their perch',https://www.thesun.co.uk/sport/26092253/sir-jim-ratcliffe-alex-ferguson-man-utd/
